UUID,Void/Retire,Name,Parent,Attribute|FOSA ID,Description
e9fdcfce-4ee6-44af-8406-640d07c2a3aa,,Ntaruka Health Center,Kirehe Hospital,429,Ntaruka Health Center - A MoH health center supported by PIH which is in the Kirehe Hospital catchment area
bcdea72e-9dcb-4a7b-a072-4f766ee54e9d,,Nyabitare Health Center,Kirehe Hospital,430,"Nyabitare Health Center - A MoH health center supported by PIH which is in the Kirehe Hospital catchment area, and has CD4 counts done there"
7fe8333e-c4e0-46c1-b92d-51cd865e1710,,Nyamirama Health Center,,412,"Nyamirama Health Center - A MoH health center (not PIH-supported) which is in the Rwinkwavu Hospital catchment area, and has CD4 counts done there"
a2e181c2-26fe-102b-80cb-0017a47871b2,,Nyarubuye Health Center,Kirehe Hospital,431,Nyarubuye Health Center - A PIH-supported MoH Health Center in Kirehe District
a2e1946e-26fe-102b-80cb-0017a47871b2,TRUE,Ruhengeri,,,Ruhengeri Hospital
a2e187f8-26fe-102b-80cb-0017a47871b2,,Rukira Health Center,,,Rukira Health Center - A PIH-supported MoH Health Center
a30b5a9e-b614-49fd-a69c-38eb05042acd,,Ruramira Health Center,,414,"Ruramira Health Center - A MoH health center (not PIH-supported) which is in the Rwinkwavu Hospital catchment area, and has CD4 counts done there"
a2e19072-26fe-102b-80cb-0017a47871b2,,Rusumo Health Center,Kirehe Hospital,432,Rusumo Health Center - A PIH-supported MoH Health Center in Kirehe District
752d59fb-4b72-47b1-bc13-b03fe513dd8d,,Rutare Health Center,,415,Rutare Health Center - A MoH health center which is PIH-supported in the Rwinkwavu Hospital catchment area
a2e1925c-26fe-102b-80cb-0017a47871b2,TRUE,Rwanda,,,The country of Rwanda
1a341da9-6827-4bb2-8047-4324b904bd4a,,Rwantonde Health Center,Kirehe Hospital,,Rwantonde Health Center - A MoH health center supported by PIH which is in the Kirehe Hospital catchment area
a2e183d4-26fe-102b-80cb-0017a47871b2,,Rwinkwavu Health Center,Kayonza District,416,Rwinkwavu Health Center - A PIH-supported MoH Health Center
38c4b94b-97a6-4f2c-bca6-c28a37cf60ed,,Rwinkwavu Hospital,Kayonza District,417,"Rwinkwavu Hospital, Rwanda - the district hospital of Southern Kayonza District"
2f72a28a-1379-4eca-928e-7732fa624282,TRUE,Test Location,,,The location to attach to test patients
8d6c993e-c2cc-11de-8d13-0010c6dffd0f,,Unknown location,,,Unknown location
