UUID,Void/Retire,Name,Description,Parent,Tags,_order:1
bcdea72e-9dcb-4a7b-a072-4f766ee54e9d,,Nyabitare Health Center,"Nyabitare Health Center - A MoH health center supported by PIH which is in the Kirehe Hospital catchment area, and has CD4 counts done there",,Visit Location
7fe8333e-c4e0-46c1-b92d-51cd865e1710,,Nyamirama Health Center,"Nyamirama Health Center - A MoH health center (not PIH-supported) which is in the Rwinkwavu Hospital catchment area, and has CD4 counts done there",Rwinkwavu Hospital,Visit Location
a2e181c2-26fe-102b-80cb-0017a47871b2,,Nyarubuye Health Center,Nyarubuye Health Center - A PIH-supported MoH Health Center in Kirehe District,,Visit Location
a2e1946e-26fe-102b-80cb-0017a47871b2,TRUE,Ruhengeri,Ruhengeri Hospital,,
a2e187f8-26fe-102b-80cb-0017a47871b2,,Rukira Health Center,Rukira Health Center - A PIH-supported MoH Health Center,,Visit Location
a30b5a9e-b614-49fd-a69c-38eb05042acd,,Ruramira Health Center,"Ruramira Health Center - A MoH health center (not PIH-supported) which is in the Rwinkwavu Hospital catchment area, and has CD4 counts done there",Rwinkwavu Hospital,Visit Location
a2e19072-26fe-102b-80cb-0017a47871b2,,Rusumo Health Center,Rusumo Health Center - A PIH-supported MoH Health Center in Kirehe District,,Visit Location
752d59fb-4b72-47b1-bc13-b03fe513dd8d,,Rutare Health Center,Rutare Health Center - A MoH health center which is PIH-supported in the Rwinkwavu Hospital catchment area,Rwinkwavu Hospital,Visit Location
a2e1925c-26fe-102b-80cb-0017a47871b2,TRUE,Rwanda,The country of Rwanda,,
1a341da9-6827-4bb2-8047-4324b904bd4a,,Rwantonde Health Center,Rwantonde Health Center - A MoH health center supported by PIH which is in the Kirehe Hospital catchment area,,Visit Location
a2e183d4-26fe-102b-80cb-0017a47871b2,,Rwinkwavu Health Center,Rwinkwavu Health Center - A PIH-supported MoH Health Center,Rwinkwavu Hospital,Visit Location
38c4b94b-97a6-4f2c-bca6-c28a37cf60ed,,Rwinkwavu Hospital,"Rwinkwavu Hospital, Rwanda - the district hospital of Southern Kayonza District",,Visit Location
2f72a28a-1379-4eca-928e-7732fa624282,TRUE,Test Location,The location to attach to test patients,,
8d6c993e-c2cc-11de-8d13-0010c6dffd0f,,Unknown location,Unknown location,,
